,Scenario,F_0x,F_0y,F_0z,F_1x,F_front_upper - rod end,F_rear_upper - rod end,F_front_lower - rod end,F_rear_lower - rod end,F_damper,F_steering,UBJ - spherical,LBJ - spherical

0,Self weight + down force,0.0,0.0,1400.0,0.0,110.38609140907893,-373.8024731708368,340.8368122838484,1387.3305255911619,-1993.9242917311988,-1.1342940623179103e-11,308.0841923854775,1687.096944880337

1,Corner Inner ACTUALLY ACCEL,-1520.0,0.0,1018.0,0.0,1547.2579603288816,-1026.2330265352923,-4515.754427378023,3804.1399343021076,-1450.0886115736928,403.2106395561496,1119.7369405724558,2366.8985698842853

2,Corner Outer,0.0,-3832.0,2395.0,0.0,-783.401659543421,2652.847601409458,4691.453144540758,-7485.533894405528,-3074.584783971445,-2.8232357924085864e-11,2186.449982176796,4268.984510899445

3,Braking,1002.0,0.0,626.0,0.0,-917.6978881180626,330.18194587824513,3292.6123933294107,-1222.3908261873064,-891.4234476470015,-265.80069791794597,729.8182376309393,2340.88517176906

4,Brake + Corner Inner ACTUALLY ACCEL PLUS CORNER,-1929.0,1842.0,1363.0,0.0,2436.5421344193364,-2903.928854991793,-7688.396882592374,9637.233246586347,-2103.2357261398533,511.7061340156699,2143.7898634413787,5077.136600651961

5,Brake + Corner Outer,1435.0,-1435.0,1268.0,0.0,-1649.0603721020761,1606.579219219831,6344.404980920725,-5074.435297995852,-1679.7241134073508,-380.66267615993894,1280.9604169399613,3341.0876372148427

6,Max compression,-1929.0,-3832.0,626.0,0.0,-1649.0603721020761,-2903.928854991793,-7688.396882592374,-7485.533894405528,-3074.584783971445,-380.66267615993894,308.0841923854775,1687.096944880337

7,Max tension,1435.0,1842.0,2395.0,0.0,2436.5421344193364,2652.847601409458,6344.404980920725,9637.233246586347,-891.4234476470015,511.7061340156699,2186.449982176796,5077.136600651961

