Scenario Name,F_0x,F_0y,F_0z,F_1x
Self weight,0,0,1400,0
Brake,-2720,0,1704,0
Corner Outside ,,,,0
Corner Outside Brake,,,,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0,3909,1563,
,-3774,3774,1774,
